opportunity_id;sales_agent;Produto;Conta;deal_stage;engage_date;close_date; close_value 
1C1I7A6R;Moses Frase;GTX Plus Basic;Cancity;Won;20/10/2016;01/03/2017;R$ 1.054,00
Z063OYW0;Darcel Schlecht;GTXPro;Isdom;Won;25/10/2016;11/03/2017;R$ 4.514,00
EC4QE1BX;Darcel Schlecht;MG Special;Cancity;Won;25/10/2016;07/03/2017;R$ 50,00
MV1LWRNH;Moses Frase;GTX Basic;Codehow;Won;25/10/2016;09/03/2017;R$ 588,00
PE84CX4O;Zane Levy;GTX Basic;Hatfan;Won;25/10/2016;02/03/2017;R$ 517,00
ZNBS69V1;Anna Snelling;MG Special;Ron-tech;Won;29/10/2016;01/03/2017;R$ 49,00
9ME3374G;Vicki Laflamme;MG Special;J-Texon;Won;30/10/2016;02/03/2017;R$ 57,00
7GN8Q4LL;Markita Hansen;GTX Basic;Cheers;Won;01/11/2016;07/03/2017;R$ 601,00
OLK9LKZB;Niesha Huffines;GTX Plus Basic;Zumgoity;Won;01/11/2016;03/03/2017;R$ 1.026,00
HAXMC4IX;James Ascencio;MG Advanced;;Engaging;03/11/2016;;
NL3JZH1Z;Anna Snelling;MG Special;Bioholding;Won;04/11/2016;10/03/2017;R$ 53,00
KWVA7VR1;Gladys Colclough;GTXPro;Genco Pura Olive Oil Company;Lost;04/11/2016;18/03/2017; R$ -   
S8DX3XOU;James Ascencio;GTX Plus Pro;Sunnamplex;Won;04/11/2016;10/03/2017;R$ 5.169,00
ENB2XD8G;Maureen Marcano;GTX Plus Pro;Sonron;Won;04/11/2016;06/03/2017;R$ 4.631,00
09YE9QOV;Hayden Neloms;MG Advanced;Finjob;Won;05/11/2016;11/03/2017;R$ 3.393,00
3F5MZNEH;Rosalina Dieter;MG Special;Sonron;Lost;05/11/2016;03/03/2017; R$ -   
M6WEJXC0;Rosalina Dieter;MG Advanced;Scotfind;Won;05/11/2016;06/03/2017;R$ 3.284,00
6PTR7VBR;Versie Hillebrand;MG Special;Treequote;Won;06/11/2016;05/03/2017;R$ 61,00
902REDPA;Daniell Hammack;GTXPro;Xx-zobam;Lost;07/11/2016;09/03/2017; R$ -   
5J9CMGDV;Elease Gluck;MG Special;Rantouch;Won;07/11/2016;08/03/2017;R$ 46,00
JJXRR8R6;James Ascencio;GTX Plus Pro;Fasehatice;Lost;07/11/2016;17/03/2017; R$ -   
WF4HA5NW;Moses Frase;MG Special;Ron-tech;Won;07/11/2016;18/03/2017;R$ 50,00
C5K2JP1H;Violet Mclelland;GTX Plus Basic;Vehement Capital Partners;Won;07/11/2016;11/03/2017;R$ 1.014,00
ADRB8OMB;Darcel Schlecht;GTX Basic;Warephase;Won;08/11/2016;26/03/2017;R$ 561,00
SBCR987L;Kami Bicknell;GTX Basic;Zoomit;Won;10/11/2016;23/03/2017;R$ 590,00
UP409DSB;Maureen Marcano;MG Advanced;Ganjaflex;Engaging;10/11/2016;;
JSD4APT2;Versie Hillebrand;MG Special;Bioholding;Won;10/11/2016;12/03/2017;R$ 61,00
AO9Z2D17;Violet Mclelland;GTX Plus Pro;Xx-zobam;Lost;10/11/2016;11/03/2017; R$ -   
5M58DTJK;Elease Gluck;MG Special;Cheers;Won;11/11/2016;05/03/2017;R$ 58,00
KNY1OSAB;Maureen Marcano;GTXPro;Labdrill;Won;11/11/2016;14/03/2017;R$ 4.899,00
EAZDUUM9;Rosie Papadopoulos;MG Advanced;Zotware;Lost;11/11/2016;01/03/2017; R$ -   
2STUSOFE;Versie Hillebrand;MG Special;dambase;Won;11/11/2016;03/03/2017;R$ 67,00
JYKM0B00;James Ascencio;GTXPro;Xx-holding;Won;12/11/2016;06/03/2017;R$ 4.338,00
KU28360J;Kary Hendrixson;GTX Basic;Fasehatice;Won;12/11/2016;19/03/2017;R$ 578,00
N4SD17JR;Reed Clapper;GTX Basic;Acme Corporation;Won;12/11/2016;01/03/2017;R$ 556,00
E67P9Y3Q;Rosalina Dieter;GTX Basic;Green-Plus;Won;12/11/2016;03/03/2017;R$ 635,00
AT3MMVIS;Wilburn Farren;MG Advanced;The New York Inquirer;Won;12/11/2016;07/03/2017;R$ 3.045,00
REJ11LRY;Garret Kinder;GTX Plus Basic;Mathtouch;Won;13/11/2016;14/03/2017;R$ 1.233,00
ERV0CAZ7;Versie Hillebrand;MG Special;Zumgoity;Won;13/11/2016;09/03/2017;R$ 60,00
8SOQADK7;Anna Snelling;MG Special;Gogozoom;Lost;14/11/2016;30/03/2017; R$ -   
TCHFT25B;Darcel Schlecht;GTX Basic;Stanredtax;Lost;14/11/2016;08/03/2017; R$ -   
CZVN09WN;Darcel Schlecht;GTX Plus Basic;Konmatfix;Won;14/11/2016;20/03/2017;R$ 1.170,00
EG7OFLFR;Kami Bicknell;GTX Basic;;Engaging;14/11/2016;;
30UQWUKB;Marty Freudenburg;GTX Plus Basic;Genco Pura Olive Oil Company;Won;15/11/2016;20/03/2017;R$ 1.162,00
OLVI7L8M;Cassey Cress;GTXPro;;Engaging;16/11/2016;;
97UN20YY;Darcel Schlecht;MG Advanced;Conecom;Won;16/11/2016;14/03/2017;R$ 3.725,00
JXLERZ9O;Kary Hendrixson;GTX Basic;Golddex;Won;16/11/2016;31/03/2017;R$ 559,00
6ROE69W5;Rosalina Dieter;GTX Basic;Plexzap;Lost;16/11/2016;11/03/2017; R$ -   
0DFXFKT7;Darcel Schlecht;GTX Plus Basic;Rundofase;Lost;17/11/2016;21/03/2017; R$ -   
XKMZVSN4;James Ascencio;GTX Plus Pro;Sonron;Won;17/11/2016;05/03/2017;R$ 4.667,00
IU8V0BZK;Marty Freudenburg;GTX Plus Basic;Finhigh;Won;17/11/2016;17/03/2017;R$ 903,00
XY42936P;Maureen Marcano;GTX Plus Basic;Finjob;Won;17/11/2016;13/03/2017;R$ 1.180,00
XRN54MBM;Niesha Huffines;GTX Basic;Ron-tech;Won;17/11/2016;05/03/2017;R$ 487,00
